Name,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,Partition,ValueType
syn500K1M60_1,500000,1000000, 13.320022,1000,60.000000,30000000,45.495419,4.504497,416,8
syn500K1M80_0,500000,1000000, 17.798859,1000,80.000000,40000000,45.283801,4.494670,416,8
syn500K1M80_1,500000,1000000, 17.798570,1000,80.000000,40000000,45.284536,4.494743,416,8
syn500K1M100_0,500000,1000000, 22.144510,1000,100.000000,50000000,45.428868,4.515792,416,8
syn500K1M100_1,500000,1000000, 22.140648,1000,100.000000,50000000,45.436790,4.516580,416,8
syn10K20K4_0,10000,20000,  0.046358,1000,4.000000,40000,19.845670,1.725703,416,8
syn10K20K4_1,10000,20000,  0.045934,1000,4.000000,40000,20.028607,1.741610,416,8
syn20K40K4_0,20000,40000,  0.047667,1000,4.000000,80000,38.601466,3.356642,416,8
syn20K40K4_1,20000,40000,  0.047797,1000,4.000000,80000,38.496023,3.347473,416,8
syn40K80K4_0,40000,80000,  0.061305,1000,4.000000,160000,60.028086,5.219828,416,8
syn40K80K4_1,40000,80000,  0.060467,1000,4.000000,160000,60.859959,5.292165,416,8
syn60K120K4_0,60000,120000,  0.101889,1000,4.000000,240000,54.176850,4.711027,416,8
syn60K120K4_1,60000,120000,  0.101426,1000,4.000000,240000,54.423945,4.732514,416,8
syn70K140K4_0,70000,140000,  0.133298,1000,4.000000,280000,48.312793,4.201110,416,8
syn70K140K4_1,70000,140000,  0.138706,1000,4.000000,280000,46.429056,4.037307,416,8
syn120K240K4_1,120000,240000,  0.265744,1000,4.000000,480000,41.543701,3.612494,416,8
syn120K240K4_0,120000,240000,  0.290520,1000,4.000000,480000,38.000841,3.304420,416,8
syn140K280K4_1,140000,280000,  0.286928,1000,4.000000,560000,44.889246,3.903412,416,8
syn140K280K4_0,140000,280000,  0.312504,1000,4.000000,560000,41.215506,3.583956,416,8
syn160K320K4_1,160000,320000,  0.336480,1000,4.000000,640000,43.747098,3.804094,416,8
syn160K320K4_0,160000,320000,  0.428348,1000,4.000000,640000,34.364626,2.988228,416,8
syn250K500K4_0,250000,500000,  0.615461,1000,4.000000,1000000,37.370398,3.249599,416,8
syn250K500K4_1,250000,500000,  0.672276,1000,4.000000,1000000,34.212160,2.974970,416,8
syn300K600K4_1,300000,600000,  0.719863,1000,4.000000,1200000,38.340632,3.333968,416,8
syn300K600K4_0,300000,600000,  0.719115,1000,4.000000,1200000,38.380522,3.337436,416,8
syn450K900K4_0,450000,900000,  1.137304,1000,4.000000,1800000,36.401866,3.165379,416,8
syn450K900K4_1,450000,900000,  1.137266,1000,4.000000,1800000,36.403101,3.165487,416,8
syn500K1M4_0,500000,1000000,  1.284357,1000,4.000000,2000000,35.815592,3.114399,416,8
syn500K1M4_1,500000,1000000,  1.284316,1000,4.000000,2000000,35.816736,3.114498,416,8
syn1M2M4_0,1000000,2000000,  2.761804,1000,4.000000,4000000,33.311559,2.896657,416,8
syn1M2M4_1,1000000,2000000,  2.773861,1000,4.000000,4000000,33.166764,2.884066,416,8
syn500K1M1_0,500000,1000000,  0.636465,1000,1.000000,500000,25.138861,1.571178,416,8
syn500K1M1_1,500000,1000000,  0.636293,1000,1.000000,500000,25.145637,1.571602,416,8
syn500K1M2_0,500000,1000000,  0.861692,1000,2.000000,1000000,30.173185,2.321014,416,8
syn500K1M2_1,500000,1000000,  0.861565,1000,2.000000,1000000,30.177634,2.321356,416,8
syn500K1M4_1,500000,1000000,  1.284122,1000,4.000000,2000000,35.822156,3.114970,416,8
syn500K1M4_0,500000,1000000,  1.284332,1000,4.000000,2000000,35.816276,3.114459,416,8
syn500K1M5_0,500000,1000000,  1.483000,1000,5.000000,2500000,37.761310,3.371545,416,8
syn500K1M5_1,500000,1000000,  1.483139,1000,5.000000,2500000,37.757764,3.371229,416,8
syn500K1M6_1,500000,1000000,  1.684252,1000,6.000000,3000000,39.186541,3.562413,416,8
syn500K1M6_0,500000,1000000,  1.684506,1000,6.000000,3000000,39.180632,3.561875,416,8
syn500K1M7_1,500000,1000000,  1.868866,1000,7.000000,3500000,40.666375,3.745587,416,8
syn500K1M7_0,500000,1000000,  1.943806,1000,7.000000,3500000,39.098558,3.601183,416,8
syn500K1M10_0,500000,1000000,  2.448458,1000,10.000000,5000000,43.292555,4.084203,416,8
syn500K1M10_1,500000,1000000,  2.534445,1000,10.000000,5000000,41.823753,3.945637,416,8
syn500K1M15_1,500000,1000000,  3.381260,1000,15.000000,7500000,46.136655,4.436217,416,8
syn500K1M15_0,500000,1000000,  3.382791,1000,15.000000,7500000,46.115768,4.434208,416,8
syn500K1M20_1,500000,1000000,  4.487895,1000,20.000000,10000000,45.901253,4.456432,416,8
syn500K1M20_0,500000,1000000,  4.554743,1000,20.000000,10000000,45.227579,4.391027,416,8
syn500K1M30_0,500000,1000000,  6.695372,1000,30.000000,15000000,45.703211,4.480707,416,8
syn500K1M30_1,500000,1000000,  6.694479,1000,30.000000,15000000,45.709312,4.481305,416,8
syn500K1M35_0,500000,1000000,  7.778088,1000,35.000000,17500000,45.769601,4.499820,416,8
syn500K1M35_1,500000,1000000,  7.791602,1000,35.000000,17500000,45.690219,4.492016,416,8
syn500K1M45_1,500000,1000000, 10.003363,1000,45.000000,22500000,45.584669,4.498487,416,8
syn500K1M45_0,500000,1000000, 10.007866,1000,45.000000,22500000,45.564159,4.496463,416,8
syn500K1M50_0,500000,1000000, 11.076013,1000,50.000000,25000000,45.684311,4.514260,416,8
syn500K1M50_1,500000,1000000, 11.078103,1000,50.000000,25000000,45.675692,4.513408,416,8
syn500K1M100_0,500000,1000000, 22.141154,1000,100.000000,50000000,45.435752,4.516476,416,8
syn500K1M100_1,500000,1000000, 22.141406,1000,100.000000,50000000,45.435235,4.516425,416,8
syn10K20K4_0,10000,20000,  0.045995,1000,4.000000,40000,20.002300,1.739323,416,8
syn10K20K4_1,10000,20000,  0.044695,1000,4.000000,40000,20.584058,1.789910,416,8
syn90K180K4_0,90000,180000,  0.219111,1000,4.000000,360000,37.789012,3.285999,416,8
syn90K180K4_1,90000,180000,  0.219315,1000,4.000000,360000,37.753944,3.282950,416,8
syn100K200K4_0,100000,200000,  0.216908,1000,4.000000,400000,42.414301,3.688198,416,8
syn100K200K4_1,100000,200000,  0.217704,1000,4.000000,400000,42.259281,3.674719,416,8
syn500K1M4_1,500000,1000000,  1.395701,1000,4.000000,2000000,32.958342,2.865942,416,8
syn500K1M4_0,500000,1000000,  1.395982,1000,4.000000,2000000,32.951713,2.865366,416,8
syn600K1_2M4_0,600000,1200000,  1.573537,1000,4.000000,2400000,35.080207,3.050453,416,8
syn600K1_2M4_1,600000,1200000,  1.572979,1000,4.000000,2400000,35.092649,3.051534,416,8
syn700K1_4M4_0,700000,1400000,  1.855544,1000,4.000000,2800000,34.706797,3.017982,416,8
syn700K1_4M4_1,700000,1400000,  1.855817,1000,4.000000,2800000,34.701699,3.017539,416,8
syn800K1_6M4_1,800000,1600000,  2.140706,1000,4.000000,3200000,34.381178,2.989667,416,8
syn800K1_6M4_0,800000,1600000,  2.140599,1000,4.000000,3200000,34.382899,2.989817,416,8
